ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6444829,HP525335,08/20/2008 09:55:00 PM,021XX S HALSTED ST,1360,CRIMINAL TRESPASS,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),True,False,1233,12.0,25.0,31.0,26,1171362.0,1890005.0,2008,02/28/2018 03:56:25 PM,41.853640515,-87.646521083,"(41.853640515, -87.646521083)"
7810089,HS620030,11/15/2010 12:01:00 AM,023XX W FULLERTON AVE,1120,DECEPTIVE PRACTICE,FORGERY,OTHER,False,False,1432,14.0,1.0,22.0,10,1160247.0,1915892.0,2010,02/10/2018 03:50:01 PM,41.924913394,-87.686601029,"(41.924913394, -87.686601029)"
2516077,HH861808,12/24/2002 10:00:00 AM,098XX S ELLIS AVE,0890,THEFT,FROM BUILDING,RESIDENCE,False,True,511,5.0,8.0,50.0,06,1184624.0,1839871.0,2002,09/07/2021 03:41:02 PM,41.715767132,-87.599416021,"(41.715767132, -87.599416021)"
10205457,HY392280,08/21/2015 05:00:00 PM,063XX S STONY ISLAND AVE,0890,THEFT,FROM BUILDING,OTHER,False,False,314,3.0,20.0,42.0,06,1187960.0,1863364.0,2015,02/10/2018 03:50:01 PM,41.780155491,-87.586451255,"(41.780155491, -87.586451255)"
7072288,HR479418,08/07/2009 10:30:00 AM,038XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,211,2.0,3.0,35.0,06,1178230.0,1879601.0,2009,02/10/2018 03:50:01 PM,41.824937667,-87.6216297,"(41.824937667, -87.6216297)"
11947812,JD111286,01/10/2020 08:00:00 AM,013XX N GREENVIEW AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,False,False,1433,14.0,2.0,24.0,06,1166145.0,1909070.0,2020,01/17/2020 04:09:17 PM,41.906069292,-87.665124482,"(41.906069292, -87.665124482)"
11218603,JB135338,01/09/2018 05:05:00 PM,029XX W FLETCHER ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,1411,14.0,33.0,21.0,11,1156020.0,1920796.0,2018,05/04/2018 03:51:04 PM,41.938456767,-87.702000282,"(41.938456767, -87.702000282)"
6795198,HR200416,03/04/2009 08:10:00 PM,050XX N ELSTON AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1712,17.0,39.0,14.0,06,1143758.0,1932994.0,2009,02/28/2018 03:56:25 PM,41.972168081,-87.746759503,"(41.972168081, -87.746759503)"
3211895,HK226201,03/07/2004 08:15:00 PM,013XX N KARLOV AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2534,25.0,37.0,23.0,08B,1148807.0,1908517.0,2004,02/28/2018 03:56:25 PM,41.904904759,-87.728828012,"(41.904904759, -87.728828012)"
7873033,HT103711,01/02/2011 12:00:00 PM,041XX W MELROSE ST,0810,THEFT,OVER $500,STREET,False,False,1731,17.0,31.0,16.0,06,1148279.0,1921288.0,2011,02/04/2016 06:33:39 AM,41.939959769,-87.730437712,"(41.939959769, -87.730437712)"
13954402,JJ399173,09/22/2024 07:25:00 PM,034XX W 63RD ST,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,SIDEWALK,True,False,823,8.0,14.0,66.0,24,1154582.0,1862632.0,2024,10/08/2025 03:45:03 PM,41.778877155,-87.708840106,"(41.778877155, -87.708840106)"
3288744,HK320812,04/23/2004 01:00:00 PM,005XX W CHICAGO AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1823,18.0,27.0,8.0,06,1172552.0,1905630.0,2004,02/10/2018 03:50:01 PM,41.896490376,-87.641691253,"(41.896490376, -87.641691253)"
